# UVow
*a \u0391
*e \u0395
*h \u0397
*i \u0399
*o \u039F
*u \u03A5
*w \u03A9
# LVow
a \u03B1
e \u03B5
h \u03B7
i \u03B9
o \u03BF
u \u03C5
w \u03C9
# LVowAcute
a/ \u1F71
e/ \u1F73
h/ \u1F75
i/ \u1F77
o/ \u1F79
u/ \u1F7B
w/ \u1F7D
# LVowGrave
a\ \u1F70
e\ \u1F72
h\ \u1F74
i\ \u1F76
o\ \u1F78
u\ \u1F7A
w\ \u1F7C
# LVowCircu
a= \u1FB6
h= \u1FC6
i= \u1FD6
u= \u1FE6
w= \u1FF6
# UVowSmoot
*)a \u1F08
*)e \u1F18
*)h \u1F28
*)i \u1F38
*)o \u1F48
*)w \u1F68
# LVowSmoot
a) \u1F00
e) \u1F10
h) \u1F20
i) \u1F30
o) \u1F40
u) \u1F50
w) \u1F60
# UVowRough
*(a \u1F09
*(e \u1F19
*(h \u1F29
*(i \u1F39
*(o \u1F49
*(u \u1F59
*(w \u1F69
# LVowRough
a( \u1F01
e( \u1F11
h( \u1F21
i( \u1F31
o( \u1F41
u( \u1F51
w( \u1F61
# UVowIoSub
*a| \u1FBC
*h| \u1FCC
*w| \u1FFC
# LVowIoSub
a| \u1FB3
h| \u1FC3
w| \u1FF3
# LVowDiaer
i+ \u03CA
u+ \u03CB
# LVowAcuteDiaer
i/+ \u1FD3
u/+ \u1FE3
# LVowGraveDiaer
i\+ \u1FD2
u\+ \u1FE2
# LVowCircuDiaer
i=+ \u1FD7
u=+ \u1FE7
# UVowSmootAcute
*)/a \u1F0C
*)/e \u1F1C
*)/h \u1F2C
*)/i \u1F3C
*)/o \u1F4C
*)/w \u1F6C
# LVowSmootAcute
a)/ \u1F04
e)/ \u1F14
h)/ \u1F24
i)/ \u1F34
o)/ \u1F44
u)/ \u1F54
w)/ \u1F64
# UVowSmootGrave
*)=a \u1F0A
*)=e \u1F1A
*)=h \u1F2A
*)=i \u1F3A
*)=o \u1F4A
*)=w \u1F6A
# LVowSmootGrave
a)\ \u1F02
e)\ \u1F12
h)\ \u1F22
i)\ \u1F32
o)\ \u1F42
u)\ \u1F52
w)\ \u1F62
# UVowSmootCircu
*)=a \u1F0E
*)=h \u1F2E
*)=i \u1F3E
*)=w \u1F6E
# LVowSmootCircu
a)= \u1F06
h)= \u1F26
i)= \u1F36
u)= \u1F56
w)= \u1F66
# UVowRoughAcute
*(/a \u1F0D
*(/e \u1F1D
*(/h \u1F2D
*(/i \u1F3D
*(/o \u1F4D
*(/u \u1F5D
*(/w \u1F6D
# LVowRoughAcute
a(/ \u1F05
e(/ \u1F15
h(/ \u1F25
i(/ \u1F35
o(/ \u1F45
